Sample,Rollercount,RollerGap,Waterflow,Airpressure,BrightLine,
1,280,1.686,48.3,0.1,9,
2,274,1.686,48.3,0.1,7,
3,264,1.686,48.3,0.1,5,
4,275,1.686,48.3,0.1,8,
5,261,1.686,48.3,0.1,6,
6,274,1.686,48.3,0.1,9,
7,262,1.686,48.3,0.1,5,
8,260,1.686,48.3,0.1,5,
9,253,1.686,48.3,0.1,2,
10,264,1.687,48.3,0.1,4,
11,251,1.687,48.3,0.1,2,
12,269,1.696,48.3,0.1,4,
13,254,1.687,48.3,0.1,4,
14,249,1.686,48.3,0.1,1,
15,254,1.688,48.3,0.1,4,
16,252,1.688,48.3,0.1,2,
17,261,1.7,48.3,0.1,4,
18,248,1.7,48.3,0.1,0,
19,245,1.7,48.3,0.1,0,
20,259,1.7,48.3,0.1,2,
21,255,1.69,48.3,0.1,3,
22,256,1.69,48.3,0.1,3,
23,241,1.69,48.3,0.1,0,
24,245,1.69,48.3,0.1,0,
25,254,1.69,48.3,0.1,4,
26,255,1.69,48.3,0.1,3,
27,254,1.698,48.3,0.1,2,
28,251,1.698,48.3,0.1,2,
29,242,1.68,48.3,0.1,0,
30,242,1.672,48.3,0.1,2,
31,231,1.665,48.3,0.1,1,
32,236,1.701,48.3,0.1,0,
33,243,1.7,48.3,0.1,0,
34,247,1.7,48.3,0.1,0,
35,244,1.697,48.3,0.1,0,
36,228,1.697,48.3,0.1,0,
37,235,1.699,48.3,0.1,0,
38,225,1.7,48.3,0.1,0,
39,226,1.699,48.3,0.1,0,
40,227,1.664,48.3,0.1,1,
41,238,1.664,48.3,0.1,1,
42,239,1.663,48.3,0.1,1,
43,233,1.663,48.3,0.1,1,
44,226,1.664,48.3,0.1,1,
45,220,1.663,48.3,0.1,1,
46,235,1.686,48.3,0.1,0,
47,216,1.687,48.3,0.1,0,
48,233,1.687,48.3,0.1,0,
49,220,1.694,48.3,0.1,0,
50,214,1.694,48.3,0.1,0,
51,226,1.679,48.3,0.1,0,
52,213,1.665,48.3,0.1,1,
53,221,1.664,48.3,0.1,1,
54,217,1.69,48.3,0.1,0,
55,212,1.689,48.3,0.1,0,
56,210,1.692,48.3,0.1,0,
57,220,1.687,48.3,0.1,0,
58,212,1.687,48.3,0.1,0,
59,207,1.687,48.3,0.1,0,
60,206,1.689,48.3,0.1,0,
61,219,1.689,48.3,0.1,0,
62,204,1.687,48.3,0.1,0,
63,217,1.688,48.3,0.1,0,
64,200,1.677,48.3,0.1,1,
65,200,1.678,48.3,0.1,0,
66,278,1.679,48.3,0.1,8,
67,203,1.677,48.3,0.1,0,
68,277,1.674,48.3,0.1,8,
69,274,1.674,48.3,0.1,8,
70,277,1.675,48.3,0.1,8,
71,279,1.675,48.3,0.1,9,
72,277,1.675,48.3,0.1,9,
73,207,1.672,48.3,0.1,0,
74,270,1.68,48.3,0.1,6,
75,269,1.679,48.3,0.1,6,
76,200,1.679,48.3,0.1,0,
77,267,1.679,48.3,0.1,7,
78,272,1.681,48.3,0.1,7,
79,280,1.678,48.3,0.1,12,
80,278,1.681,48.3,0.1,8,
81,267,1.676,48.3,0.1,6,
82,278,1.689,48.3,0.1,8,
83,268,1.689,48.3,0.1,5,
84,266,1.689,48.3,0.1,6,
85,275,1.69,48.3,0.1,6,
86,262,1.679,48.3,0.1,5,
87,271,1.689,48.3,0.1,8,
88,267,1.686,48.3,0.1,5,
89,256,1.686,48.3,0.1,4,
90,257,1.683,48.3,0.1,5,
91,253,1.691,48.3,0.1,1,
92,259,1.678,48.3,0.1,5,
93,259,1.678,48.3,0.1,5,
94,262,1.679,48.3,0.1,5,
95,266,1.679,48.3,0.1,6,
96,258,1.679,48.3,0.1,5,
97,260,1.677,48.3,0.1,5,
98,264,1.677,48.3,0.1,6,
99,254,1.679,48.3,0.1,4,
100,260,1.677,48.3,0.1,6,
101,256,1.679,48.3,0.1,5,
102,253,1.677,48.3,0.1,4,
103,248,1.678,48.3,0.1,2,
104,241,1.672,48.3,0.1,1,
105,243,1.672,48.3,0.1,2,
106,237,1.67,48.3,0.1,1,
107,247,1.67,48.3,0.1,0,
108,243,1.679,48.3,0.1,1,
109,242,1.685,48.3,0.1,0,
110,234,1.68,48.3,0.1,0,
111,235,1.68,48.3,0.1,0,
112,239,1.679,48.3,0.1,0,
113,234,1.679,48.3,0.1,0,
114,234,1.679,48.3,0.1,0,
115,231,1.677,48.3,0.1,0,
116,236,1.677,48.3,0.1,0,
117,233,1.676,48.3,0.1,0,
118,226,1.677,48.3,0.1,0,
119,236,1.677,48.3,0.1,0,
120,240,1.69,48.3,0.1,0,
121,230,1.69,48.3,0.1,0,
122,239,1.689,48.3,0.1,0,
123,228,1.678,48.3,0.1,0,
124,221,1.681,48.3,0.1,0,
125,237,1.678,48.3,0.1,0,
126,223,1.683,48.3,0.1,0,
127,218,1.684,48.3,0.1,0,
128,221,1.684,48.3,0.1,0,
129,215,1.683,48.3,0.1,0,
130,216,1.676,48.3,0.1,0,
131,221,1.676,48.3,0.1,0,
132,228,1.679,48.3,0.1,0,
133,221,1.679,48.3,0.1,0,
134,227,1.679,48.3,0.1,0,
135,211,1.679,48.3,0.1,0,
136,209,1.67,48.3,0.1,1,
137,215,1.677,48.3,0.1,0,
138,209,1.681,48.3,0.1,0,
139,215,1.681,48.3,0.1,0,
140,214,1.682,48.3,0.1,0,
141,203,1.681,48.3,0.1,0,
142,218,1.685,48.3,0.1,0,
143,213,1.685,48.3,0.1,0,
144,215,1.686,48.3,0.1,0,
145,203,1.686,48.3,0.1,0,
146,213,1.678,48.3,0.1,0,
147,208,1.679,48.3,0.1,0,
148,210,1.679,48.3,0.1,0,
149,280,1.68,48.3,0.1,12,
150,276,1.679,48.3,0.1,9,
151,206,1.679,48.3,0.1,0,
152,273,1.679,48.3,0.1,9,
153,279,1.679,48.3,0.1,7,
154,202,1.692,48.3,0.1,0,
155,272,1.678,48.3,0.1,8,
156,201,1.689,48.3,0.1,0,
157,267,1.679,48.3,0.1,6,
158,202,1.679,48.3,0.1,0,
159,274,1.678,48.3,0.1,8,
160,265,1.678,48.3,0.1,6,
161,266,1.679,48.3,0.1,6,
162,269,1.679,48.3,0.1,7,
163,277,1.68,48.3,0.1,7,
164,260,1.679,48.3,0.1,5,
165,263,1.679,48.3,0.1,6,
166,277,1.679,48.3,0.1,9,
167,263,1.679,48.3,0.1,6,
168,261,1.679,48.3,0.1,6,
169,262,1.679,48.3,0.1,6,
170,270,1.679,48.3,0.1,7,
171,272,1.684,48.3,0.1,8,
172,260,1.678,48.3,0.1,5,
173,270,1.681,48.3,0.1,5,
174,268,1.679,48.3,0.1,7,
175,250,1.679,48.3,0.1,2,
176,262,1.68,48.3,0.1,5,
177,260,1.677,48.3,0.1,6,
178,264,1.679,48.3,0.1,5,
179,246,1.683,48.3,0.1,1,
180,255,1.683,48.3,0.1,4,
181,247,1.68,48.3,0.1,0,
182,249,1.679,48.3,0.1,3,
183,243,1.678,48.3,0.1,1,
184,250,1.678,48.3,0.1,2,
185,252,1.679,48.3,0.1,3,
186,239,1.678,48.3,0.1,0,
187,249,1.682,48.3,0.1,2,
188,252,1.677,48.3,0.1,3,
189,235,1.682,48.3,0.1,0,
190,236,1.682,48.3,0.1,0,
191,233,1.682,48.3,0.1,0,
192,251,1.679,48.3,0.1,3,
193,237,1.676,48.3,0.1,1,
194,234,1.675,48.3,0.1,0,
195,235,1.679,48.3,0.1,0,
196,238,1.684,48.3,0.1,0,
197,234,1.684,48.3,0.1,0,
198,243,1.684,48.3,0.1,0,
199,234,1.684,48.5,0.1,0,
200,231,1.685,48.5,0.1,0,
201,240,1.67,48.5,0.1,1,
202,226,1.677,48.5,0.1,0,
203,222,1.672,48.5,0.1,0,
204,234,1.675,48.5,0.1,0,
205,230,1.68,48.5,0.1,0,
206,235,1.679,48.5,0.1,0,
207,219,1.679,48.5,0.1,0,
208,218,1.679,48.5,0.1,0,
209,227,1.679,48.5,0.1,0,
210,217,1.679,48.5,0.1,0,
211,231,1.686,48.5,0.1,0,
212,218,1.686,48.5,0.1,0,
213,213,1.686,48.5,0.1,0,
214,229,1.686,48.5,0.1,0,
215,209,1.686,48.5,0.1,0,
216,219,1.686,48.5,0.1,0,
217,216,1.687,48.5,0.1,0,
218,215,1.687,48.5,0.1,0,
219,206,1.687,48.5,0.1,0,
220,219,1.687,48.5,0.1,0,
221,213,1.687,48.5,0.1,0,
222,210,1.687,48.5,0.1,0,
223,210,1.677,48.5,0.1,0,
224,200,1.678,48.5,0.1,0,
225,210,1.678,48.5,0.1,0,
226,210,1.679,48.5,0.1,0,
227,205,1.68,48.5,0.1,0,
228,277,1.68,48.5,0.1,8,
229,213,1.68,48.5,0.1,0,
230,209,1.681,48.5,0.1,0,
231,277,1.682,48.5,0.1,8,
232,208,1.682,48.5,0.1,0,
233,204,1.682,48.5,0.1,0,
234,206,1.684,48.5,0.1,0,
235,204,1.685,48.5,0.099,0,
236,277,1.685,48.5,0.099,8,
237,278,1.687,48.5,0.099,8,
238,205,1.687,48.5,0.099,0,
239,278,1.687,48.5,0.099,6,
240,278,1.688,48.5,0.099,8,
241,267,1.688,48.5,0.099,5,
242,200,1.688,48.5,0.099,0,
243,273,1.688,48.5,0.099,8,
244,278,1.688,48.5,0.099,7,
245,264,1.689,48.5,0.099,3,
246,278,1.689,48.5,0.099,8,
247,271,1.686,48.5,0.099,7,
248,258,1.686,48.5,0.099,5,
249,262,1.686,48.5,0.099,5,
250,274,1.687,48.5,0.099,8,
251,254,1.687,48.5,0.099,4,
252,254,1.691,48.5,0.099,3,
253,264,1.678,48.5,0.099,6,
254,266,1.678,48.5,0.099,6,
255,252,1.678,48.5,0.099,3,
256,267,1.677,48.5,0.099,7,
257,257,1.699,48.5,0.099,2,
258,251,1.696,48.5,0.099,2,
259,249,1.685,48.5,0.099,1,
260,264,1.684,48.5,0.099,5,
261,249,1.679,48.5,0.099,2,
262,254,1.679,48.5,0.099,4,
263,260,1.684,48.5,0.099,4,
264,242,1.679,48.5,0.099,0,
